train_size,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_threshold,variance_threshold,phase_diagram_path,summary_csv,num_qubits,train_size_path,task_dir,runs_json,summary_json,config_json,task_id,state,elapsed,timelimit,elapsed_hours,timelimit_hours
2,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.09496078386472144,6.4197664812907865e-34,0.11046118917718979,6.273165335900678e-28,0.41971102230907276,5.517382991023857e-22,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/summary.csv,6,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_2/paper_reproduction_config.json,0,COMPLETED,00:01:43,12:00:00,0.02861111111111111,12.0
4,3,1.0,0.0,1.0,0.0,0.10100256305264575,1.0560073057727804e-13,0.1104360240637529,7.822053403036922e-12,0.42646564454913927,1.698831482917183e-09,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/summary.csv,6,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_4/paper_reproduction_config.json,1,COMPLETED,00:03:23,12:00:00,0.05638888888888889,12.0
6,3,1.0,0.0,1.0,0.0,0.10395270318295209,3.8127308080063616e-13,0.11042564352866861,7.570553901774239e-12,0.42981351521400485,3.836772041822941e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/summary.csv,6,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_6/paper_reproduction_config.json,2,COMPLETED,00:02:18,12:00:00,0.03833333333333333,12.0
8,3,1.0,0.0,1.0,0.0,0.10570094433834226,2.8063882630941806e-13,0.11041842000519292,7.424090160969334e-12,0.4319855734269548,2.5604785242928684e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/summary.csv,6,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_8/paper_reproduction_config.json,3,COMPLETED,00:02:56,12:00:00,0.048888888888888885,12.0
10,3,1.0,0.0,1.0,0.0,0.10685858900138467,1.6559870725805214e-13,0.11041365872213012,5.437918440133364e-13,0.4332793689258169,2.93193753484765e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/phase_diagrams/train_size_10_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/summary.csv,6,10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_10/paper_reproduction_config.json,4,COMPLETED,00:04:13,12:00:00,0.07027777777777777,12.0
12,3,1.0,0.0,1.0,0.0,0.1076818588348038,5.337786404397245e-13,0.11041754627427776,1.6625600898594593e-11,0.4337464712572221,6.35181284924546e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/phase_diagrams/train_size_12_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/summary.csv,6,12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n6/train_size_12/paper_reproduction_config.json,5,COMPLETED,00:04:33,12:00:00,0.07583333333333334,12.0
2,3,1.0,0.0,0.87,0.0,0.2095489137672949,0.0,0.20894848062686525,3.0731973307800104e-23,0.5002421025853837,3.6925560497853437e-19,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/summary.csv,7,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_2/paper_reproduction_config.json,6,COMPLETED,00:02:51,12:00:00,0.0475,12.0
4,3,1.0,0.0,0.92,0.0,0.209784949822828,2.1464759759509674e-12,0.20891507662998152,6.893844604981629e-12,0.4848126594002878,5.721547784870674e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/summary.csv,7,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_4/paper_reproduction_config.json,7,COMPLETED,00:03:30,12:00:00,0.058333333333333334,12.0
6,3,1.0,0.0,0.94,0.0,0.20980900992802332,9.37464844011253e-13,0.2088962435809132,6.226841326589081e-12,0.4776999528560802,3.2514706452282147e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/summary.csv,7,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_6/paper_reproduction_config.json,8,COMPLETED,00:07:35,12:00:00,0.12638888888888888,12.0
8,3,1.0,0.0,0.96,0.0,0.20980360130634604,1.9996183742677256e-12,0.2088854101522116,5.826709657308634e-12,0.4735748900044284,4.396674400675656e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/summary.csv,7,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_8/paper_reproduction_config.json,9,COMPLETED,00:08:46,12:00:00,0.1461111111111111,12.0
10,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.2097974620730748,2.380110999745476e-12,0.20887752804212378,7.641706395060026e-11,0.47093127266612145,6.1626972587948e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10/phase_diagrams/train_size_10_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10/summary.csv,7,10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_10/paper_reproduction_config.json,10,COMPLETED,00:06:56,12:00:00,0.11555555555555556,12.0
12,3,1.0,0.0,0.98,0.0,0.20979391792471647,4.124621701357675e-12,0.20887990528085928,2.9510909356498694e-10,0.4695643471732062,5.061358911365611e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12/phase_diagrams/train_size_12_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12/summary.csv,7,12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n7/train_size_12/paper_reproduction_config.json,11,COMPLETED,00:09:47,12:00:00,0.16305555555555556,12.0
2,3,1.0,0.0,0.92,0.0,0.174717686827306,7.703719777548943e-34,0.18108086792120862,7.848490547418237e-23,0.4853566176644922,5.013068373295425e-20,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2/summary.csv,8,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_2/paper_reproduction_config.json,12,COMPLETED,00:08:06,12:00:00,0.135,12.0
4,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.17729591332831376,4.089416295928732e-15,0.18091889087824878,4.3600641520105506e-11,0.4649751333627817,5.984793933728128e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4/summary.csv,8,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_4/paper_reproduction_config.json,13,COMPLETED,00:14:24,12:00:00,0.24,12.0
6,3,1.0,0.0,0.98,0.0,0.17852212726176564,4.0140783436955554e-13,0.18086788050400826,1.1545000658826134e-11,0.4577048238180163,8.133311739782152e-09,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6/summary.csv,8,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_6/paper_reproduction_config.json,14,COMPLETED,00:37:40,12:00:00,0.6277777777777778,12.0
8,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.17923430159032602,8.17874612813256e-14,0.1808330727935347,1.0157300736743109e-11,0.45420238817529146,9.779657930592873e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8/summary.csv,8,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_8/paper_reproduction_config.json,15,COMPLETED,00:48:26,12:00:00,0.8072222222222223,12.0
10,3,1.0,0.0,0.9966666666666667,2.222222222222226e-05,0.17970166004757063,1.8164921595732594e-12,0.1808073510715368,1.5027239421832177e-10,0.45206870952572675,8.622204311048125e-08,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10/phase_diagrams/train_size_10_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10/summary.csv,8,10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_10/paper_reproduction_config.json,16,COMPLETED,01:04:16,12:00:00,1.0711111111111111,12.0
12,3,1.0,0.0,1.0,0.0,0.15325513533080395,0.001433701817245771,0.15513551515348814,0.0013190851748010601,0.4474241816972499,3.48001014339867e-05,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12/phase_diagrams/train_size_12_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12/summary.csv,8,12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n8/train_size_12/paper_reproduction_config.json,17,COMPLETED,01:17:23,12:00:00,1.2897222222222222,12.0
2,3,1.0,0.0,0.9499999999999998,1.232595164407831e-32,0.07004694247127456,7.703719777548943e-34,0.09768842830911052,1.4610782902746816e-25,0.41042991837955195,6.215959517135053e-23,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2/summary.csv,9,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_2/paper_reproduction_config.json,18,COMPLETED,01:25:01,12:00:00,1.4169444444444446,12.0
4,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.0786402470719223,1.620098494919213e-12,0.0970033477280375,8.287326417961898e-10,0.389091530492747,6.319037281416753e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4/summary.csv,9,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_4/paper_reproduction_config.json,19,COMPLETED,01:17:09,12:00:00,1.2858333333333332,12.0
6,3,1.0,0.0,0.98,0.0,0.08357381136454133,2.5730643902868402e-11,0.09675593956558037,2.657975446636474e-09,0.37497131990650234,2.054308498896949e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6/phase_diagrams/train_size_6_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6/summary.csv,9,6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_6/paper_reproduction_config.json,20,COMPLETED,02:05:32,12:00:00,2.0922222222222224,12.0
8,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08663998634596097,1.8355613435450977e-11,0.09668883542616787,1.9445842656147435e-09,0.36703581099614646,4.039915758205136e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8/phase_diagrams/train_size_8_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8/summary.csv,9,8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_8/paper_reproduction_config.json,21,COMPLETED,02:35:01,12:00:00,2.5836111111111113,12.0
10,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08869129195712484,8.547372866740369e-12,0.09660152511558934,9.647315795213694e-10,0.3641301033763911,1.2633561548033021e-05,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10/phase_diagrams/train_size_10_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10/summary.csv,9,10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_10/paper_reproduction_config.json,22,COMPLETED,03:31:49,12:00:00,3.5302777777777776,12.0
12,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.0901736287308722,4.5408054946907383e-10,0.0966866522723972,1.5362497378740309e-09,0.3567529252718284,1.5178869468573532e-06,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12/phase_diagrams/train_size_12_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12/summary.csv,9,12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n9/train_size_12/paper_reproduction_config.json,23,COMPLETED,04:00:59,12:00:00,4.016388888888889,12.0
2,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.1717747091012374,8.474091755303838e-33,0.18370895250114957,2.3362470516852675e-22,0.577183597293109,2.2993466982741313e-20,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2/phase_diagrams/train_size_2_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2/summary.csv,10,2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_2/paper_reproduction_config.json,24,COMPLETED,05:26:20,12:00:00,5.438888888888889,12.0
4,3,1.0,0.0,0.98,0.0,0.17643878059578066,2.327413405670157e-12,0.1835512702490277,5.884236850572206e-11,0.5800617987501601,1.4780907968795854e-07,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4/phase_diagrams/train_size_4_phase_diagram.npz,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4/summary.csv,10,4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4/runs.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4/summary.json,/scratch/users/jdehoney/eqnn_thesis/data/reproduction/paper_reproduction_19558980/n10/train_size_4/paper_reproduction_config.json,25,COMPLETED,08:44:17,12:00:00,8.738055555555555,12.0
