backend_name,model_family,num_qubits,train_size,epochs,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds
torch_pure,hea_qcnn,6,2,50,3,1.0,0.0,0.9733333333333333,0.0006222222222222233,0.14789731057967556,0.00025334409103739856,0.1566110439126256,0.00021010951567022613,0.5438406431280085,0.00032029352173344614,2.311818136367947,0.44451160836637316
torch_pure,hea_qcnn,6,4,50,3,1.0,0.0,0.9833333333333334,0.00015555555555555583,0.12633937742461807,4.878614371521747e-05,0.13277666945758707,4.0017650436263945e-05,0.5428478734133754,0.001153850074694187,4.912014186537514,0.3695687533527368
torch_pure,hea_qcnn,6,6,50,3,1.0,0.0,1.0,0.0,0.1393229020954442,3.084995686023906e-06,0.14294225156863877,2.781989899464732e-06,0.5299253276850484,0.0001952028602511971,4.23328272656848,1.8080389540412904
torch_pure,hea_qcnn,6,8,50,3,1.0,0.0,1.0,0.0,0.13804275655161824,0.00021238149290213335,0.14078679198008423,0.00019873989489759895,0.5367482946041009,0.0002325118840591185,4.413399570155889,0.07355197043318881
torch_pure,hea_qcnn,6,10,50,3,1.0,0.0,1.0,0.0,0.12921476035301036,0.00010227799322880036,0.13147753451042207,9.495548946850874e-05,0.5577445148485499,3.2406008688021475e-06,5.1798026578811305,0.035529970485904415
torch_pure,hea_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.13688223288648027,9.962794319719774e-05,0.13831923381503156,9.368065469987951e-05,0.553613263814719,2.326032971616177e-05,9.823930849321187,46.22426747495398
torch_pure,hea_qcnn,7,2,50,3,1.0,0.0,0.6433333333333334,8.888888888888904e-05,0.03801894366713734,1.2432577540748541e-05,0.24306854574823392,2.9215944993787654e-06,0.46987781551467517,7.070846749378514e-06,2.2767713755990067,0.06304877618148565
torch_pure,hea_qcnn,7,4,50,3,1.0,0.0,0.8399999999999999,0.006666666666666664,0.0877326975510921,0.0008070612255473845,0.15049541154465085,0.001466973950943077,0.5405583046291257,0.002898137721154879,6.037587649965038,5.515167142258419
torch_pure,hea_qcnn,7,6,50,3,1.0,0.0,0.9233333333333333,0.0003555555555555542,0.12692662048223327,3.506367282398644e-07,0.14619053535417356,2.5759862917258572e-05,0.5105617278318394,0.00037231395583755183,6.350124018732458,2.294967590627565
torch_pure,hea_qcnn,7,8,50,3,1.0,0.0,0.8066666666666666,0.00028888888888888763,0.08280935291354767,7.42324926727075e-07,0.1768411985936191,0.00017443588338166132,0.5897896985512766,2.7022426874289832e-05,6.365328513706724,0.1970501652276279
torch_pure,hea_qcnn,7,10,50,3,1.0,0.0,0.9433333333333334,0.0034888888888888886,0.0909447166478516,0.0007326552042490724,0.10470838071573395,0.000996453834878925,0.4491819345678203,0.0016472136730407818,10.7059515651005,5.186637362450347
torch_pure,hea_qcnn,7,12,50,3,0.9722222222222222,0.0015432098765432113,0.8000000000000002,1.232595164407831e-32,0.07474308474496691,1.4953537787307237e-07,0.18686166075840327,4.162951969459292e-06,0.5728617468503521,1.6098841113428074e-05,9.072425009372333,0.6326592346890183
torch_pure,hea_qcnn,8,2,50,3,1.0,0.0,0.9866666666666667,2.222222222222226e-05,0.1535912295931536,8.25298974369539e-07,0.16544003113076647,8.101798601626523e-07,0.5775988978306229,3.719352099522273e-06,8.284275797971835,6.83604490877983
torch_pure,hea_qcnn,8,4,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.15526479452243022,2.287030604655812e-08,0.16244613612341266,2.3141384040759955e-08,0.5763263105056534,6.5995101232176095e-09,9.627787947654724,6.975661921448101
torch_pure,hea_qcnn,8,6,50,3,1.0,0.0,1.0,0.0,0.1572978560770081,1.3315869567175137e-10,0.1622359469669807,2.362222705635695e-10,0.5789057683812588,1.7760186799223049e-07,16.02134702246015,0.12539662659247625
torch_pure,hea_qcnn,8,8,50,3,1.0,0.0,1.0,0.0,0.15865958197531016,4.602288721744257e-09,0.1622789768198393,6.303999873911683e-09,0.5813749263439,1.0653870869448684e-06,14.006184579494098,2.0103055511467978
torch_pure,hea_qcnn,8,10,50,3,1.0,0.0,1.0,0.0,0.1594971489569971,5.917489347551826e-09,0.16226655553447247,5.77477762611213e-09,0.5818582230991746,6.908893272282113e-08,22.289820855949074,0.1411301025864451
torch_pure,hea_qcnn,8,12,50,3,1.0,0.0,0.9966666666666667,2.222222222222226e-05,0.1442327003075474,0.0005003578558438257,0.14668470088454544,0.00048257747034336434,0.5881041542284923,6.977824838353486e-05,26.077614405347656,2.273845058930685
torch_pure,hea_qcnn,9,2,50,3,1.0,0.0,0.6733333333333333,0.000555555555555554,0.025000052078332936,3.0083443318196802e-05,0.21004337658096373,0.00013433229213107167,0.49659432484030924,2.012489850009386e-05,28.42541211983189,11.192013760809324
torch_pure,hea_qcnn,9,4,50,3,1.0,0.0,0.9233333333333333,0.006488888888888884,0.07505445811980666,0.0008060252837258346,0.10894680251352125,0.0015008876058398254,0.5077076339476392,0.0002282871669740785,41.92685867457961,21.10750432499577
torch_pure,hea_qcnn,9,6,50,3,1.0,0.0,0.6833333333333332,0.0020222222222222213,0.041818631893261904,0.00015339111728207558,0.2324476724413138,0.0006002424186824763,0.5606917019818297,0.0016959627249141691,66.49888948195924,5.527016410229728
torch_pure,hea_qcnn,9,8,50,3,1.0,0.0,0.9766666666666666,0.00015555555555555583,0.06960970521694929,7.12061400237237e-05,0.0992414881151261,0.00039313131951586273,0.47029476845128704,0.0008148279131441502,81.7957857150274,3.626790590288573
torch_pure,hea_qcnn,9,10,50,3,1.0,0.0,0.7200000000000001,1.232595164407831e-32,0.08295673205345853,2.9761136670474053e-05,0.20488828458768857,1.8944989993578902e-05,0.514188327382643,0.00011287774725420218,74.11672869883478,13.733895096713914
torch_pure,hea_qcnn,9,12,50,3,0.9722222222222222,0.0015432098765432113,0.9166666666666666,0.01082222222222222,0.09846565237357419,0.0006568496858375218,0.1258140694565187,0.0021555836395022207,0.4938232605281925,0.003744162035725722,100.5424205600284,105.89209854360799
torch_pure,hea_qcnn,10,2,50,3,1.0,0.0,0.9700000000000001,0.000600000000000001,0.15609334763528634,0.0007861403640150531,0.17155979303216373,0.0005751809802409518,0.5958800712220155,0.0005396454579427796,169.3735154385989,451.0953222657599
torch_pure,hea_qcnn,10,4,50,3,1.0,0.0,0.9700000000000001,0.00046666666666666753,0.13418485490951595,0.0001579830071664325,0.14575245435006295,0.00014777332214498194,0.5840217543419516,0.0005679060947760961,272.54616919128847,1307.5928343908797
torch_pure,hea_qcnn,10,6,50,3,1.0,0.0,0.9733333333333333,2.222222222222226e-05,0.11944227450693701,4.772519460702661e-05,0.12826274392749556,4.058426528010556e-05,0.5939608880784683,0.0001351391386283731,359.7936454806477,2550.876351121186
torch_pure,hea_qcnn,10,8,50,3,1.0,0.0,0.9866666666666667,2.222222222222226e-05,0.12634300885594074,5.084875920872232e-05,0.13262461818428084,4.5002765711069e-05,0.5898703457085914,0.00019187137771204874,395.77681011489284,3973.1115459398557
torch_pure,hea_qcnn,10,10,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.12779013377690907,5.645129288961988e-05,0.13260448557351337,5.072278433499658e-05,0.6006444159955766,0.000146815909526448,555.8738256107705,4381.732302619336
torch_pure,hea_qcnn,10,12,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.1182594517058733,1.515770711484564e-08,0.12253201983606037,1.2853053440610523e-08,0.616932105568409,8.512330466295277e-07,569.4603381715715,3006.7228754371536
torch_pure,su2_qcnn,6,2,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.10027892863607746,2.6350689617653086e-06,0.11437246882066902,1.4833612534084471e-06,0.4435379702369346,8.622361522097576e-05,1.5209933143729966,0.08908476567765261
torch_pure,su2_qcnn,6,4,50,3,1.0,0.0,1.0,0.0,0.10107276193804983,1.335277315994043e-09,0.11051916842026983,3.1125433447370045e-09,0.42678907019607953,1.7005252694591005e-06,1.5444172948288422,0.16329829958470835
torch_pure,su2_qcnn,6,6,50,3,1.0,0.0,1.0,0.0,0.10396032172775989,3.9823217774744044e-11,0.11042184450292798,1.99419454380318e-11,0.4310036469236361,1.670523314716335e-06,1.9464687217647831,0.3284178188734375
torch_pure,su2_qcnn,6,8,50,3,1.0,0.0,1.0,0.0,0.10570942120424341,1.4443771972689238e-11,0.11041664766296709,2.7820485665672647e-12,0.4325457918932078,2.857303223562131e-07,2.647790852778902,0.02233428366166072
torch_pure,su2_qcnn,6,10,50,3,1.0,0.0,1.0,0.0,0.10687021121478263,5.2232239210133696e-11,0.11042599833943784,1.6561264384327614e-10,0.43310946091717745,2.9107119479148483e-06,2.9678049312594035,0.046584889105424764
torch_pure,su2_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.10770090399772636,4.952688211489002e-11,0.11042674059393669,7.909358249840445e-11,0.4346716100217996,5.699358089543367e-06,3.1250834258583686,0.60315549415906
torch_pure,su2_qcnn,7,2,50,3,1.0,0.0,0.8666666666666667,2.222222222222226e-05,0.21220656071957253,7.009054414520183e-07,0.21101899434552215,7.465755185872658e-07,0.4993213635281961,5.40846611480049e-05,2.152246560746183,0.015821103106338198
torch_pure,su2_qcnn,7,4,50,3,1.0,0.0,0.9266666666666667,2.222222222222226e-05,0.2100144010923828,1.4835117010525608e-08,0.2094455833714536,7.1032318008793e-08,0.48572807071430013,5.4566813038840435e-06,1.9902484936950107,0.20251045304032464
torch_pure,su2_qcnn,7,6,50,3,1.0,0.0,0.9566666666666667,2.222222222222226e-05,0.21009396583574455,1.2737830182687912e-08,0.20940586900660907,3.866390105481501e-08,0.4787805004495558,2.2905157361624184e-06,2.568083985708654,0.0012339771837940577
torch_pure,su2_qcnn,7,8,50,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.20994531249040857,1.5322324764587832e-11,0.20913953668507568,4.964570215412411e-11,0.477566651187487,1.580953801774822e-06,2.9402153169115386,0.010981372494413352
torch_pure,su2_qcnn,7,10,50,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.20984479128949804,5.379972377444758e-10,0.20897429087632893,1.3970339732430534e-09,0.47116692751771777,8.355934169357622e-08,3.562754587891201,0.015789172499889263
torch_pure,su2_qcnn,7,12,50,3,1.0,0.0,0.98,0.0,0.20980294642656253,3.6463142720359316e-11,0.20888905884046413,1.4505123674167606e-10,0.47032500821916495,5.49756620561072e-07,3.6627357493465147,0.044655034727832436
torch_pure,su2_qcnn,8,2,50,3,1.0,0.0,0.92,0.0,0.17513297596807406,1.9609745225801467e-08,0.18192115829906155,2.115825337360404e-08,0.49146999107290895,3.5939427234609414e-06,3.5531248884896436,0.23152165618691656
torch_pure,su2_qcnn,8,4,50,3,1.0,0.0,0.9666666666666667,2.222222222222226e-05,0.1773472411856757,1.5420729020422751e-09,0.1808857864200454,6.585406510350905e-09,0.4634037820203571,3.341327869249044e-06,75.15350136905909,9410.532434967807
torch_pure,su2_qcnn,8,6,50,3,1.0,0.0,0.98,0.0,0.1785578784520284,1.3449778468256886e-09,0.18084670471423114,9.081385762539618e-10,0.45958856701550466,2.9093611993190866e-06,7.425397946964949,7.426840882727507
torch_pure,su2_qcnn,8,8,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.17923742336869178,3.3334614172384858e-12,0.18081457870080556,2.8666149340747072e-11,0.45497323224526304,2.941474632315701e-08,8.620933916730186,0.793439252280554
torch_pure,su2_qcnn,8,10,50,3,1.0,0.0,0.9966666666666667,2.222222222222226e-05,0.17970166004757063,1.8164921595409396e-12,0.1808073510715368,1.5027239421814235e-10,0.45206870952572675,8.622204311046641e-08,12.344031513979038,7.253625261598128
torch_pure,su2_qcnn,8,12,50,3,1.0,0.0,1.0,0.0,0.15325781113587242,0.001433669405789672,0.15513691759452375,0.001318811191952652,0.4460499938132692,3.995157389366497e-05,17.661356496469427,0.25865192448396895
torch_pure,su2_qcnn,9,2,50,3,1.0,0.0,0.93,0.0,0.08289593838518246,3.411607606023665e-06,0.109705728396109,1.8561374295136542e-06,0.388311957001582,2.1332320309378354e-05,20.77955682637791,46.38887813885979
torch_pure,su2_qcnn,9,4,50,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.07957885477118017,1.3632306166270829e-06,0.09743919514521882,5.577044625304399e-07,0.3952049312505082,3.708299566180832e-05,47.82527802387873,398.8103557297812
torch_pure,su2_qcnn,9,6,50,3,1.0,0.0,0.98,0.0,0.08398325556766234,1.0789479892268255e-07,0.09712091304366066,1.302757056547914e-07,0.36924810758356247,3.82464478668448e-05,39.91762077715248,6.925108083629936
torch_pure,su2_qcnn,9,8,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08665916063972767,1.4459486870946168e-10,0.0966538228962499,1.3070431006862315e-09,0.36749441998295357,4.910401934540415e-06,66.02640323123585,24.24478488216906
torch_pure,su2_qcnn,9,10,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.08869129195712484,8.547372866631808e-12,0.09660152511558934,9.647315795228442e-10,0.3641301033763913,1.2633561548032335e-05,90.17746701122572,7.977681699504699
torch_pure,su2_qcnn,9,12,50,3,1.0,0.0,0.9899999999999999,1.232595164407831e-32,0.09032605457581018,4.269913131572279e-09,0.09677360124604069,1.5742924035806845e-08,0.36142557324963165,3.045036536325935e-05,98.92106914970402,33.8673519654622
torch_pure,su2_qcnn,10,2,50,3,1.0,0.0,0.9700000000000001,1.232595164407831e-32,0.17319943312622776,8.176596242430132e-07,0.1844241304324569,1.637582145398287e-07,0.5716825382428844,2.029723454432243e-05,110.22336886947353,3.591024015956517
torch_pure,su2_qcnn,10,4,50,3,1.0,0.0,0.98,0.0,0.17646058775571047,8.992778331706914e-12,0.1834892072930072,1.301100628442973e-10,0.5786640594751128,3.539294837446536e-08,231.3405842104306,7.174798010899461
torch_pure,su2_qcnn,10,6,50,3,1.0,0.0,0.9899999999999999,6.666666666666679e-05,0.15619349173243333,0.0010064211040218616,0.16290754676000485,0.0008505676504605994,0.5617109694472783,0.0010319628143591272,317.99760604805005,36.741288518654194
torch_pure,su2_qcnn,10,8,50,3,1.0,0.0,0.9966666666666667,2.222222222222226e-05,0.1357942826068431,0.000970691274575212,0.14228032959026074,0.000848781712635732,0.5428437717446933,0.0009197216698745356,335.9149928030868,157.22478584450275
torch_pure,su2_qcnn,10,10,50,3,1.0,0.0,0.9933333333333333,2.222222222222226e-05,0.15888396701658428,0.0009511534544743611,0.1628759030095645,0.0008517826613905853,0.5643215550170975,0.0010438085087389347,592.4806021566814,641.8115642946765
torch_pure,su2_qcnn,10,12,50,3,1.0,0.0,1.0,0.0,0.1380891073096714,0.0009308984203513773,0.14225809889681143,0.0008488585436649175,0.5426753299887705,0.001058753275570645,694.9389823349193,602.8857900177792
